"Tanggal","Origin (UTC)","Lintang","Bujur","Magnitudo","Depth","Ket","Terasa","Dampak","Sumber","Petugas","Created","Updated","Actions"
"27-10-2021","13:37:40.3","-3.17","135.58","3.6","16","42 km BaratLaut NABIRE-PAPUA","tidak","","PGR V","","2021-10-27 20:33:42","2021-10-27 20:33:42","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"27-10-2021","17:13:57.2","-0.46","132.95","2.5","16","71 km TimurLaut TAMBRAUW-PAPUABRT","tidak","","PGR V","","2021-10-27 20:33:56","2021-10-27 20:33:56","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"27-10-2021","18:52:35.3","-2.52","138.97","3.1","25","74 km Tenggara MAMBERAMOTENGAH-PAPUA","tidak","","PGR V","","2021-10-27 20:34:05","2021-10-27 20:34:05","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"28-10-2021","14:09:09.8","-2.60","140.19","3.6","10","24 km BaratDaya KAB-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"29-10-2021","19:14:26.2","-3.63","141.02","3.1","52","43 km Tenggara KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"29-10-2021","19:59:02.3","-3.33","140.19","2.7","35","63 km BaratLaut KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"29-10-2021","21:24:31.7","-2.83","140.56","1.9","10","30 km BaratDaya KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"29-10-2021","21:57:14.1","-3.59","140.37","2.7","10","51 km BaratDaya KEEROM-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"30-10-2021","19:29:36.6","-2.61","138.90","3.6","10","70 km Tenggara MAMBERAMOTENGAH-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"31-10-2021","00:04:18.0","-1.74","135.61","3.1","10","62 km BaratLaut KEP-YAPEN-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"31-10-2021","01:11:50.5","-3.91","133.64","2.8","10","77 km BaratDaya KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"31-10-2021","04:55:21.5","-4.10","140.67","2.8","10","54 km TimurLaut PEG-BINTANG-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"31-10-2021","08:36:27.4","-0.88","133.29","2.7","103","61 km BaratLaut PEGUNUNGANARFAK-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"31-10-2021","13:40:18.4","-0.63","131.36","3.3","10","29 km TimurLaut KOTA-SORONG-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"01-11-2021","13:41:30.2","-0.72","131.25","3.6","10","19 km BaratLaut KOTA-SORONG-PAPUABRT","dirasakan","Dirasakan di Kota Sorong dengan intensitas II-III[...]","angkasa","purnama","","2021-11-04 23:40:16","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-11-2021","01:47:03.5","-2.67","140.56","2.3","10","13 km BaratDaya KOTA-JAYAPURA-PAPUA","tidak","","angkasa","purnama","","2021-11-02 03:48:15","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-11-2021","03:35:49.8","-3.17","133.89","2.7","10","14 km BaratLaut KAIMANA-PAPUABRT","tidak","","angkasa","purnama","2021-11-02 03:47:28","2021-11-02 03:48:23","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"02-11-2021","08:39:00.0","-1.74","133.03","2.6","10","67 km BaratLaut TELUKBINTUNI-PAPUABRT","tidak","","pgr v","purnama","2021-11-02 09:08:48","2021-11-02 09:09:29","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-11-2021","00:40:10.1","-2.36","140.49","2.7","10","26 km BaratLaut KOTA-JAYAPURA-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-11-2021","00:58:34.7","-0.35","132.18","4.1","16","54 km BaratLaut TAMBRAUW-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-11-2021","09:34:08.6","-3.70","133.96","3.8","11","46 km Tenggara KAIMANA-PAPUABRT","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"03-11-2021","23:37:55","-4.31","133.34","3.0","18","132 km BaratDaya KAIMANA-PAPUABRT","tidak","","pgr v","purnama","2021-11-04 02:02:25","2021-11-04 10:33:35","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
"04-11-2021","13:25:07.0","-4.72","138.60","3.7","10","44 km TimurLaut ASMAT-PAPUA","tidak","","angkasa","umum","","","Press Release 	  		  			  		  		 	 Edit  		  		  			  		  		 Delete"
